,melspectrogram,melspectrogram_min,melspectrogram_max,melspectrogram_sum,melspectrogram_corr,melspectrogram_std,mfcc,rms,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_flatness ,spectral_rolloff,zero_crossing_rate,mean harm,mean perc,max harm,max perc,min harm,min perc,normal(0)/abnormal(1)
0,0.01022732350975275,1.2193190901399475e-09,0.3465818464756012,564.2210083007812,0.4284537213534554,0.01728077232837677,-13.152509689331055,0.004923476837575436,1696.9293233948847,1871.236948642351,23.724547866596783,0.0008190767839550972,3667.3892700478536,0.08187490936774942,-6.3663396e-07,-4.054678868214978e-07,0.015599102713167667,0.0698075070977211,-0.01611565239727497,-0.059695661067962646,0
0,0.010362162254750729,1.0136300687690891e-09,0.3054073750972748,571.6597900390625,0.43599674066752614,0.016444476321339607,-13.552141189575195,0.004817420616745949,1736.9755648616483,1865.9252827742368,23.46416403363499,0.0006223318632692099,3785.047491299304,0.08660364704176333,-3.0707002e-07,1.8737720708372763e-08,0.0170728862285614,0.0693025290966034,-0.017800889909267426,-0.0579923540353775,0
0,0.011956050992012024,1.3067867898897134e-09,0.1751701831817627,659.5914306640625,0.3905686219414164,0.017997227609157562,-11.940767288208008,0.005164426751434803,1277.8228732229998,1458.4575616067914,20.98119954253305,0.00042852628394030035,2625.027359610644,0.05675957982888631,1.3691686e-06,-7.680731641812599e-07,0.013448156416416168,0.0707009807229042,-0.013480310328304768,-0.060840848833322525,0
0,0.010021369904279709,1.2221544887225377e-09,0.24307793378829956,552.8589477539062,0.4398846713099273,0.017520779743790627,-13.513589859008789,0.004995419643819332,1687.3173740439597,1912.484162534836,23.278153771139504,0.0005110065103508532,3834.084240411108,0.07112592444895592,3.1072022e-07,-7.483548074560531e-07,0.015373185276985168,0.073137067258358,-0.015797404572367668,-0.05852232873439789,0
0,0.010401926934719086,1.2446579322755724e-09,0.21984057128429413,573.853515625,0.46616747793908486,0.018425358459353447,-11.875802040100098,0.005084305070340633,1215.123818216958,1541.2036158435521,21.67605755497147,0.00031278692767955363,2479.066215922274,0.052141866661832945,-7.228301e-07,2.679114004422445e-06,0.014245866797864437,0.06921347230672836,-0.013761104084551334,-0.06198181211948395,0
0,0.010961825028061867,1.3386268760129383e-09,0.1573232263326645,604.741943359375,0.41435297777443003,0.016694771125912666,-12.414886474609375,0.004850725643336773,1504.2474300121876,1701.3185897183516,22.21390639802982,0.0005172282690182328,3176.0225583671695,0.07037027805974477,4.4864788e-07,2.7322204232405056e-07,0.012628097087144852,0.07587496191263199,-0.012151547707617283,-0.05811809003353119,0
0,0.010065486654639244,1.2388101655602668e-09,0.14849089086055756,555.2927856445312,0.4019724336797915,0.01437910832464695,-13.716626167297363,0.004415891133248806,1644.0961200598813,1768.0313805250878,23.537789974632588,0.0005798481870442629,3279.3419645446634,0.08631475674303944,-3.5335847e-07,-2.34247679031796e-07,0.015342596918344498,0.07741091400384903,-0.015533949248492718,-0.06256494671106339,0
0,0.010903318412601948,1.291234230649252e-09,0.20336298644542694,601.5142822265625,0.42108653532141277,0.01782199554145336,-11.313567161560059,0.00498992158100009,1344.96517592127,1585.167370210027,21.701447555793777,0.00040190230356529355,2771.163366897477,0.05747670751160093,-1.3970009e-06,3.091355438300525e-07,0.012021922506392002,0.0733773335814476,-0.012119166553020477,-0.05979989469051361,0
0,0.009391335770487785,1.1008413070001666e-09,0.15560899674892426,518.1011962890625,0.41049827093772917,0.013524796813726425,-14.35155963897705,0.004236964043229818,2330.016817023636,2060.3787900078432,23.686380118240496,0.0011743594659492373,4713.7480627356435,0.12521751740139211,-1.3946271e-08,-3.853904786410567e-07,0.012077205814421177,0.0743330866098404,-0.013799674808979034,-0.06249339506030083,0
0,0.010703898034989834,1.2981439256876115e-09,0.2575903534889221,590.5126342773438,0.4494752277356683,0.018416214734315872,-11.617051124572754,0.005141987465322018,1289.5387881958773,1585.7944198145326,21.548408069234625,0.00034124296507798135,2738.6387375833815,0.05258143307714617,-2.5855373e-08,-3.394004011170182e-07,0.012920133769512177,0.07789131999015808,-0.012903052382171154,-0.0622158944606781,0
